datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name,year,month,day,dayofweek,is_weekend,total_sales,total_sales_lag_1,total_sales_lag_7,total_sales_lag_30,rolling_mean_7,rolling_std_7
2014-02-19,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,2014,2,276,0.0,2014,2,19,2,0,105.64999999999999,97.8,107.36999999999999,59.54,77.57714285714285,21.064927181048084
2014-02-20,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,2014,2,276,0.0,2014,2,20,3,0,66.72,105.64999999999999,84.1,69.34,77.33142857142856,20.665733657894865
2014-02-21,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0,2014,2,276,0.0,2014,2,21,4,0,61.739999999999995,66.72,76.50999999999999,52.1,74.84857142857142,20.760828843900125
2014-02-22,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0,2014,2,276,0.0,2014,2,22,5,1,54.870000000000005,61.739999999999995,57.34,49.07,72.73857142857142,21.30720412487403
2014-02-23,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,2014,2,276,0.0,2014,2,23,6,1,37.34,54.870000000000005,47.88,52.61,72.38571428571429,21.62282733374068
2014-02-24,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0,2014,2,276,0.0,2014,2,24,0,0,50.68,37.34,72.03999999999999,81.8,70.88000000000001,23.864484769911428
2014-02-25,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,2014,2,276,0.0,2014,2,25,1,0,67.38,50.68,97.8,34.01,67.82857142857144,25.028642544473897
2014-02-26,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0,2014,2,276,0.0,2014,2,26,2,0,62.01,67.38,105.64999999999999,56.81,63.48285714285714,21.324148059798112
2014-02-27,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,2014,2,276,0.0,2014,2,27,3,0,58.540000000000006,62.01,66.72,58.52,57.24857142857143,10.648574910242624
2014-02-28,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,2014,2,276,0.0,2014,2,28,4,0,71.66,58.540000000000006,61.739999999999995,39.33,56.07999999999999,9.85523380409285
2014-03-01,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,2014,3,276,0.0,2014,3,1,5,1,82.175,71.66,54.870000000000005,45.26,57.49714285714286,11.397342839869514
2014-03-02,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,2014,3,276,0.0,2014,3,2,6,1,15.94,82.175,37.34,47.68,61.39785714285715,14.577278511763604
2014-03-03,4.0,3.68,1.6,22.1,1.0,2.0,0.0,2.2,2014,3,276,0.0,2014,3,3,0,0,36.580000000000005,15.94,50.68,84.65,58.340714285714284,21.202184327047448
2014-03-04,5.34,7.02,7.2,47.275,9.0,0.0,5.0,4.0,2014,3,276,0.0,2014,3,4,1,0,84.835,36.580000000000005,67.38,39.7,56.326428571428565,22.6702317136897
2014-03-05,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0,2014,3,276,0.0,2014,3,5,2,0,37.34,84.835,62.01,64.9,58.82,24.935477904650924
2014-03-06,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0,2014,3,276,0.0,2014,3,6,3,0,78.6,37.34,58.540000000000006,69.93,55.29571428571428,26.124504848349368
2014-03-07,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0,2014,3,276,0.0,2014,3,7,4,0,48.84,78.6,71.66,63.62,58.16142857142857,27.598359358587157
2014-03-08,4.34,3.07,1.0,27.6,11.0,0.0,0.0,0.0,2014,3,276,0.0,2014,3,8,5,1,47.010000000000005,48.84,82.175,80.91,54.901428571428575,27.081054372981527
2014-03-09,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0,2014,3,276,0.0,2014,3,9,6,1,24.3,47.010000000000005,15.94,64.43,49.87785714285714,24.29703031530516
2014-03-10,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0,2014,3,276,0.0,2014,3,10,0,0,75.83,24.3,36.580000000000005,74.18,51.07214285714286,22.489028780189496
2014-03-11,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0,2014,3,276,0.0,2014,3,11,1,0,68.1,75.83,84.835,56.5,56.67928571428571,23.156667223604583
2014-03-12,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0,2014,3,276,0.0,2014,3,12,2,0,64.12,68.1,37.34,90.93,54.28857142857142,20.473834055994054
2014-03-13,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0,2014,3,276,0.0,2014,3,13,3,0,65.47,64.12,78.6,105.09,58.114285714285714,19.244122788653236
2014-03-14,4.34,1.68,1.2,16.0,11.0,0.0,1.0,2.0,2014,3,276,0.0,2014,3,14,4,0,37.22,65.47,48.84,107.36999999999999,56.23857142857143,17.472986225000252
2014-03-15,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,2014,3,276,0.0,2014,3,15,5,1,67.3,37.22,47.010000000000005,84.1,54.57857142857143,18.79498818707748
2014-03-16,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0,2014,3,276,0.0,2014,3,16,6,1,29.08,67.3,24.3,76.50999999999999,57.47714285714286,18.99670560411791
2014-03-17,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0,2014,3,276,0.0,2014,3,17,0,0,64.02,29.08,75.83,57.34,58.160000000000004,17.64303356379889
2014-03-18,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0,2014,3,276,0.0,2014,3,18,1,0,50.1,64.02,68.1,47.88,56.472857142857144,16.17531732227196
2014-03-19,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0,2014,3,276,0.0,2014,3,19,2,0,36.82,50.1,64.12,72.03999999999999,53.901428571428575,15.43255479883511
2014-03-20,3.0,5.34,1.6,38.2,5.0,0.0,7.0,4.2,2014,3,276,0.0,2014,3,20,3,0,64.34,36.82,65.47,97.8,50.00142857142857,15.863314521847212
2014-03-21,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0,2014,3,276,0.0,2014,3,21,4,0,61.18,64.34,37.22,105.64999999999999,49.839999999999996,15.684408393900858
2014-03-22,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4,2014,3,276,0.0,2014,3,22,5,1,70.38000000000001,61.18,67.3,66.72,53.262857142857136,15.073837947788594
2014-03-23,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0,2014,3,276,0.0,2014,3,23,6,1,35.739999999999995,70.38000000000001,29.08,61.739999999999995,53.702857142857134,15.588048535427975
2014-03-24,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5,2014,3,276,0.0,2014,3,24,0,0,50.78,35.739999999999995,64.02,54.870000000000005,54.65428571428571,13.9520976405496
2014-03-25,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0,2014,3,276,0.0,2014,3,25,1,0,61.94,50.78,50.1,37.34,52.76285714285715,13.355505374545919
2014-03-26,2.34,3.99,9.0,6.7,7.0,3.0,3.0,0.0,2014,3,276,0.0,2014,3,26,2,0,35.03,61.94,36.82,50.68,54.45428571428572,13.707174346721853
2014-03-27,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0,2014,3,276,0.0,2014,3,27,3,0,40.03,35.03,64.34,67.38,54.19857142857143,14.10199090976337
2014-03-28,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0,2014,3,276,0.0,2014,3,28,4,0,40.67,40.03,61.18,62.01,50.72571428571429,14.181393745729988
2014-03-29,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0,2014,3,276,0.0,2014,3,29,5,1,60.53,40.67,70.38000000000001,58.540000000000006,47.79571428571429,13.774387895829088
2014-03-30,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0,2014,3,276,0.0,2014,3,30,6,1,28.34,60.53,35.739999999999995,71.66,46.38857142857143,11.377274759465989
2014-03-31,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,2014,3,276,0.0,2014,3,31,0,0,44.08,28.34,50.78,82.175,45.33142857142857,12.787951919119621
2014-04-01,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,2014,4,276,0.0,2014,4,1,1,0,51.68,44.08,61.94,15.94,44.37428571428571,12.560895479148616
2014-04-02,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0,2014,4,276,0.0,2014,4,2,2,0,49.58,51.68,35.03,36.580000000000005,42.90857142857143,10.617889665671887
2014-04-03,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0,2014,4,276,0.0,2014,4,3,3,0,32.54,49.58,40.03,84.835,44.987142857142864,10.235805967754796
2014-04-04,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0,2014,4,276,0.0,2014,4,4,4,0,55.67,32.54,40.67,37.34,43.91714285714285,11.187598363494198
2014-04-05,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0,2014,4,276,0.0,2014,4,5,5,1,58.28,55.67,60.53,78.6,46.06,11.877268204431562
2014-04-06,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2014,4,276,0.0,2014,4,6,6,1,25.0,58.28,28.34,48.84,45.73857142857143,11.442911093149121
2014-04-07,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0,2014,4,276,0.0,2014,4,7,0,0,55.34,25.0,44.08,47.010000000000005,45.261428571428574,12.324945474621048
2014-04-08,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7,2014,4,276,0.0,2014,4,8,1,0,39.08,55.34,51.68,24.3,46.87,12.867886384329049
2014-04-09,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6,2014,4,276,0.0,2014,4,9,2,0,33.62,39.08,49.58,75.83,45.07,12.963815024906863
2014-04-10,3.33,1.68,1.0,18.0,10.0,0.0,4.0,4.0,2014,4,276,0.0,2014,4,10,3,0,42.01,33.62,32.54,68.1,42.79,13.433394954366559
2014-04-11,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0,2014,4,276,0.0,2014,4,11,4,0,44.0,42.01,55.67,64.12,44.142857142857146,12.6851024359098
2014-04-12,7.02,3.34,6.0,23.5,19.0,0.0,11.0,4.0,2014,4,276,0.0,2014,4,12,5,1,73.86,44.0,58.28,65.47,42.47571428571429,11.64159762395592
2014-04-13,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,2014,4,276,0.0,2014,4,13,6,1,23.0,73.86,25.0,37.22,44.701428571428565,15.88333553190414
2014-04-14,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0,2014,4,276,0.0,2014,4,14,0,0,59.65,23.0,55.34,67.3,44.41571428571428,16.30907912497707
2014-04-15,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0,2014,4,276,0.0,2014,4,15,1,0,55.44,59.65,39.08,29.08,45.03142857142858,16.86221656897599
2014-04-16,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0,2014,4,276,0.0,2014,4,16,2,0,43.83,55.44,33.62,64.02,47.36857142857143,17.03275905284819
2014-04-17,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0,2014,4,276,0.0,2014,4,17,3,0,47.879999999999995,43.83,42.01,50.1,48.82714285714286,16.069098413088547
2014-04-18,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0,2014,4,276,0.0,2014,4,18,4,0,61.3,47.879999999999995,44.0,36.82,49.66571428571428,15.80504545721913
2014-04-19,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0,2014,4,276,0.0,2014,4,19,5,1,51.99,61.3,73.86,64.34,52.137142857142855,16.120883675412827
2014-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,276,0.0,2014,4,20,6,1,0.0,51.99,23.0,61.18,49.01285714285715,13.032704649311732
2014-04-21,1.34,1.68,2.1,13.5,8.0,0.0,0.0,1.0,2014,4,276,0.0,2014,4,21,0,0,27.62,0.0,59.65,70.38000000000001,45.72714285714286,21.091579452699243
2014-04-22,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0,2014,4,276,0.0,2014,4,22,1,0,57.805,27.62,55.44,35.739999999999995,41.15142857142856,21.041985353550853
2014-04-23,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0,2014,4,276,0.0,2014,4,23,2,0,48.58,57.805,43.83,50.78,41.489285714285714,21.326704783082707
2014-04-24,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0,2014,4,276,0.0,2014,4,24,3,0,45.1,48.58,47.879999999999995,61.94,42.16785714285714,21.48854769738658
2014-04-25,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0,2014,4,276,0.0,2014,4,25,4,0,49.92,45.1,61.3,35.03,41.770714285714284,21.390850541873338
2014-04-26,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0,2014,4,276,0.0,2014,4,26,5,1,70.50999999999999,49.92,51.99,40.03,40.144999999999996,20.04963902418198
2014-04-27,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,2014,4,276,0.0,2014,4,27,6,1,38.54,70.50999999999999,0.0,40.67,42.79071428571428,22.893444190526743
2014-04-28,1.34,3.09,3.0,29.1,8.0,2.0,0.0,2.0,2014,4,276,0.0,2014,4,28,0,0,48.53,38.54,27.62,60.53,48.29642857142857,13.659501184854754
2014-04-29,3.33,4.02,4.4,30.3,6.0,1.0,5.0,0.4,2014,4,276,0.0,2014,4,29,1,0,54.449999999999996,48.53,57.805,28.34,51.28357142857143,10.243457551971817
2014-04-30,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,2014,4,276,0.0,2014,4,30,2,0,79.12,54.449999999999996,48.58,44.08,50.80428571428571,9.96209291454843
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,5,276,0.0,2014,5,1,3,0,0.0,79.12,45.1,51.68,55.167142857142856,14.485914669413342
2014-05-02,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0,2014,5,276,0.0,2014,5,2,4,0,91.48,0.0,49.92,49.58,48.72428571428571,25.52953770122162
2014-05-03,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5,2014,5,276,0.0,2014,5,3,5,1,35.44,91.48,70.50999999999999,32.54,54.66142857142857,30.25011704030882
2014-05-04,1.67,4.69,1.2,20.0,3.0,0.0,0.0,3.0,2014,5,276,0.0,2014,5,4,6,1,33.56,35.44,38.54,55.67,49.65142857142858,30.091535038152873
2014-05-05,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0,2014,5,276,0.0,2014,5,5,0,0,47.785,33.56,48.53,58.28,48.940000000000005,30.4546936721857
2014-05-06,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0,2014,5,276,0.0,2014,5,6,1,0,60.7,47.785,54.449999999999996,25.0,48.833571428571425,30.457666893888128
2014-05-07,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0,2014,5,276,0.0,2014,5,7,2,0,52.45,60.7,79.12,55.34,49.72642857142857,30.740050790768855
2014-05-08,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0,2014,5,276,0.0,2014,5,8,3,0,46.14,52.45,0.0,39.08,45.91642857142857,28.022394127180654
2014-05-09,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0,2014,5,276,0.0,2014,5,9,4,0,44.2,46.14,91.48,33.62,52.50785714285714,19.575198989440484
2014-05-10,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0,2014,5,276,0.0,2014,5,10,5,1,83.4,44.2,35.44,42.01,45.75357142857143,9.398407983219753
2014-05-11,2.0,2.68,1.0,17.0,7.0,0.0,1.0,4.0,2014,5,276,0.0,2014,5,11,6,1,34.68,83.4,33.56,44.0,52.605000000000004,15.875923857632174
2014-05-12,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0,2014,5,276,0.0,2014,5,12,0,0,43.68,34.68,47.785,73.86,52.76499999999999,15.656117813813268
2014-05-13,3.68,0.34,6.2,32.0,7.0,0.0,25.0,7.5,2014,5,276,0.0,2014,5,13,1,0,81.72,43.68,60.7,23.0,52.17857142857143,15.947903131312136
2014-05-14,1.0,4.02,6.0,24.3,4.0,0.0,0.0,3.0,2014,5,276,0.0,2014,5,14,2,0,42.32,81.72,52.45,59.65,55.181428571428576,19.420671485620215
2014-05-15,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0,2014,5,276,0.0,2014,5,15,3,0,36.66,42.32,46.14,55.44,53.73428571428572,20.02611200170325
2014-05-16,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0,2014,5,276,0.0,2014,5,16,4,0,60.34,36.66,44.2,43.83,52.379999999999995,20.925623845738375
2014-05-17,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0,2014,5,276,0.0,2014,5,17,5,1,65.02,60.34,83.4,47.879999999999995,54.68571428571429,20.762648239200196
2014-05-18,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0,2014,5,276,0.0,2014,5,18,6,1,26.740000000000002,65.02,34.68,61.3,52.059999999999995,17.419108281807496
2014-05-19,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0,2014,5,276,0.0,2014,5,19,0,0,48.08,26.740000000000002,43.68,51.99,50.925714285714285,18.93226422199494
2014-05-20,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6,2014,5,276,0.0,2014,5,20,1,0,51.975,48.08,81.72,0.0,51.55428571428571,18.723495807089453
2014-05-21,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0,2014,5,276,0.0,2014,5,21,2,0,41.58,51.975,42.32,27.62,47.305,13.336837768626708
2014-05-22,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0,2014,5,276,0.0,2014,5,22,3,0,28.21,41.58,36.66,57.805,47.199285714285715,13.385779901501058
2014-05-23,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0,2014,5,276,0.0,2014,5,23,4,0,55.74,28.21,60.34,48.58,45.99214285714286,14.800848471496206
2014-05-24,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0,2014,5,276,0.0,2014,5,24,5,1,61.713,55.74,65.02,45.1,45.334999999999994,14.145243900336292
2014-05-25,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0,2014,5,276,0.0,2014,5,25,6,1,27.0,61.713,26.740000000000002,49.92,44.86257142857143,13.414574708839961
2014-05-26,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0,2014,5,276,0.0,2014,5,26,0,0,44.42,27.0,48.08,70.50999999999999,44.89971428571429,13.356266278596088
2014-05-27,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0,2014,5,276,0.0,2014,5,27,1,0,55.94,44.42,51.975,38.54,44.37685714285715,13.282452991680097
2014-05-28,1.34,5.02,1.4,10.28,9.0,0.0,2.0,5.1,2014,5,276,0.0,2014,5,28,2,0,34.14,55.94,41.58,48.53,44.943285714285715,13.737236217841017
2014-05-29,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0,2014,5,276,0.0,2014,5,29,3,0,57.64,34.14,28.21,54.449999999999996,43.880428571428574,14.316433376335345
2014-05-30,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0,2014,5,276,0.0,2014,5,30,4,0,47.54,57.64,55.74,79.12,48.08471428571429,13.227452094215389
2014-05-31,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0,2014,5,276,0.0,2014,5,31,5,1,66.00999999999999,47.54,61.713,0.0,46.91328571428572,12.792449162354709
2014-06-01,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,2014,6,276,0.0,2014,6,1,6,1,21.68,66.00999999999999,27.0,91.48,47.527142857142856,13.692429434162692
2014-06-02,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0,2014,6,276,0.0,2014,6,2,0,0,63.64,21.68,44.42,35.44,46.76714285714286,15.097261025636126
2014-06-03,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0,2014,6,276,0.0,2014,6,3,1,0,48.4,63.64,55.94,33.56,49.512857142857136,16.29915817282777
2014-06-04,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5,2014,6,276,0.0,2014,6,4,2,0,42.68,48.4,34.14,47.785,48.435714285714276,16.05087729392892
2014-06-05,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0,2014,6,276,0.0,2014,6,5,3,0,41.019999999999996,42.68,57.64,60.7,49.65571428571428,15.078273394902672
2014-06-06,5.0,1.68,3.0,16.625,15.0,2.0,1.0,5.0,2014,6,276,0.0,2014,6,6,4,0,49.305,41.019999999999996,47.54,52.45,47.28142857142857,14.919182761991872
2014-06-07,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0,2014,6,276,0.0,2014,6,7,5,1,75.18,49.305,66.00999999999999,46.14,47.53357142857142,14.939182461535463
2014-06-08,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,2014,6,276,0.0,2014,6,8,6,1,33.0,75.18,21.68,44.2,48.84357142857142,17.078294878364826
2014-06-09,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0,2014,6,276,0.0,2014,6,9,0,0,62.67,33.0,63.64,83.4,50.46071428571428,14.40406205108232
2014-06-10,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5,2014,6,276,0.0,2014,6,10,1,0,65.16,62.67,48.4,34.68,50.32214285714286,14.260088200154716
2014-06-11,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0,2014,6,276,0.0,2014,6,11,2,0,58.82,65.16,42.68,43.68,52.71642857142857,15.255817664715611
2014-06-12,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0,2014,6,276,0.0,2014,6,12,3,0,41.14,58.82,41.019999999999996,81.72,55.02214285714286,14.695516849576668
2014-06-13,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0,2014,6,276,0.0,2014,6,13,4,0,33.68,41.14,49.305,42.32,55.03928571428572,14.676518214643526
2014-06-14,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0,2014,6,276,0.0,2014,6,14,5,1,37.019999999999996,33.68,75.18,36.66,52.807142857142864,16.73748757956796
2014-06-15,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,2014,6,276,0.0,2014,6,15,6,1,18.64,37.019999999999996,33.0,60.34,47.355714285714285,14.268400818058176
2014-06-16,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0,2014,6,276,0.0,2014,6,16,0,0,49.28,18.64,62.67,65.02,45.30428571428571,17.371292273118215
2014-06-17,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0,2014,6,276,0.0,2014,6,17,1,0,42.34,49.28,65.16,26.740000000000002,43.39142857142857,15.807149678306406
2014-06-18,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0,2014,6,276,0.0,2014,6,18,2,0,36.7,42.34,58.82,48.08,40.13142857142857,12.596543743651102
2014-06-19,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0,2014,6,276,0.0,2014,6,19,3,0,30.33,36.7,41.14,51.975,36.971428571428575,9.52759400998222
2014-06-20,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0,2014,6,276,0.0,2014,6,20,4,0,44.86,30.33,33.68,41.58,35.42714285714286,9.61498953767113
2014-06-21,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0,2014,6,276,0.0,2014,6,21,5,1,47.68,44.86,37.019999999999996,28.21,37.02428571428571,10.187888000207078
2014-06-22,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0,2014,6,276,0.0,2014,6,22,6,1,40.019999999999996,47.68,18.64,55.74,38.54714285714285,10.954975603632896
2014-06-23,2.34,7.68,3.0,25.2,12.0,0.0,2.0,3.0,2014,6,276,0.0,2014,6,23,0,0,55.22,40.019999999999996,49.28,61.713,41.60142857142858,6.59094436473629
2014-06-24,3.0,5.14,4.0,16.2,23.0,0.0,2.0,4.0,2014,6,276,0.0,2014,6,24,1,0,57.34,55.22,42.34,27.0,42.449999999999996,7.980265242041444
